,0,1
523,2.68,1589678878.067179
524,271.36,1589678983.4800909
525,2.12,1589679004.56184
526,1.16,1589679018.6218681
527,5.19,1589679053.759393
528,3.16,1589679088.9251149
529,1.73,1589679102.9835808
530,1.42,1589679124.063702
531,1.28,1589679138.1123672
532,1.53,1589679152.169478
533,1.39,1589679166.2250829
534,2.89,1589679194.536822
535,1.92,1589679215.6174111
536,6.19,1589679257.7825248
537,1.04,1589679271.83131
538,1.33,1589679285.87815
539,5.73,1589679321.0090702
540,3.28,1589679356.1516201
541,2.49,1589679377.231881
542,2.96,1589679405.3341281
543,1.78,1589679426.412541
544,1.78,1589679440.4924438
545,2.2,1589679454.51701
546,3.94,1589679482.6219819
547,2.02,1589679503.719884
548,1.02,1589679517.778083
549,2.42,1589679538.855509
